fiscal_year,firm,status,ticker,leverage_ratio,cash_coverage,level3_pct,provision_for_losses,net_income,provision_for_losses_yoy_pct,net_income_yoy_pct,equity_to_assets_pct,risk_section_wc,risk_subprime_count,risk_subprime_density,risk_liquidity_risk_count,risk_liquidity_risk_density,risk_defaults_count,risk_defaults_density,risk_counterparty_count,risk_counterparty_density,risk_writedown_count,risk_writedown_density,risk_off_balance_sheet_count,risk_off_balance_sheet_density,mda_section_wc,mda_subprime_count,mda_subprime_density,mda_liquidity_risk_count,mda_liquidity_risk_density,mda_defaults_count,mda_defaults_density,mda_counterparty_count,mda_counterparty_density,mda_writedown_count,mda_writedown_density,mda_off_balance_sheet_count,mda_off_balance_sheet_density,hedging_language_pct,risk_section_wc_yoy_pct,risk_total_crisis_density,mda_total_crisis_density
2005.0,AIG,failed,AIG,13.522802903052007,0.045043435538980325,,1531000000.0,10477000000.0,,,7.3949166246762825,28918.0,0.0,0.0,0.0,0.0,6.0,0.20748322843903452,1.0,0.03458053807317242,30.0,1.0374161421951724,60.0,2.074832284390345,29070.0,0.0,0.0,0.0,0.0,5.0,0.1719986240110079,1.0,0.03439972480220158,25.0,0.8599931200550396,51.0,1.7543859649122808,0.7739938080495357,,3.354312193097724,2.82077743378053
2006.0,AIG,failed,AIG,14.054326936867167,0.04743265024176836,,1327000000.0,14048000000.0,-13.324624428478115,34.08418440393242,7.115246461051153,28815.0,1.0,0.0347041471455839,1.0,0.0347041471455839,8.0,0.2776331771646712,4.0,0.1388165885823356,41.0,1.4228700329689397,75.0,2.6028110359187924,28656.0,0.0,0.0,0.0,0.0,2.0,0.06979341150195421,1.0,0.03489670575097711,31.0,1.0817978782802904,43.0,1.5005583472920156,0.7921552205471802,-0.3561795421536784,4.511539128925906,2.687046342825237
2007.0,AIG,failed,AIG,13.542395607202145,0.033626504430630866,,2170000000.0,6200000000.0,63.52675207234364,-55.865603644646924,7.3842178961909655,28749.0,10.0,0.3478381856760235,3.0,0.10435145570280704,48.0,1.6696232912449127,4.0,0.13913527427040942,50.0,1.7391909283801177,60.0,2.087029114056141,28606.0,4.0,0.1398308047262812,1.0,0.0349577011815703,37.0,1.293434943718101,2.0,0.0699154023631406,38.0,1.3283926448996715,136.0,4.754247360693561,0.6746836328043068,-0.22904737116085094,6.0871682493304125,7.620778857582325
2008.0,AIG,failed,AIG,11.628841735369644,0.07225674798256192,,6822000000.0,-99289000000.0,214.37788018433181,-1701.4354838709678,8.599308708093043,28655.0,1.0,0.034897923573547374,1.0,0.034897923573547374,29.0,1.0120397836328738,8.0,0.279183388588379,62.0,2.163671261559937,35.0,1.221427325074158,28669.0,0.0,0.0,0.0,0.0,34.0,1.1859499808155152,6.0,0.2092852907321497,64.0,2.2323764344762633,30.0,1.0464264536607486,0.8162126338553838,-0.32696789453545705,4.746117606002443,4.6740381596846765
2005.0,Bear Stearns,failed,BSC,25.327266483516482,0.3183848615947381,,,2054000000.0,,,3.948313966889482,2314.0,0.0,0.0,1.0,0.43215211754537597,1.0,0.43215211754537597,0.0,0.0,2.0,0.8643042350907519,4.0,1.7286084701815039,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.4572169403630078,0.0
2006.0,Bear Stearns,failed,BSC,27.182206019236737,0.2411253383302103,,,2054000000.0,,0.0,3.6788772746858887,2512.0,0.0,0.0,1.0,0.3980891719745223,1.0,0.3980891719745223,0.0,0.0,2.0,0.7961783439490446,4.0,1.5923566878980893,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55661192739845,3.1847133757961785,0.0
2007.0,Bear Stearns,failed,BSC,33.51093405661977,0.20788793103448275,,,233000000.0,,-88.65628042843232,2.984100647001988,4477.0,3.0,0.6700915791824883,1.0,0.2233638597274961,8.0,1.7869108778199687,1.0,0.2233638597274961,3.0,0.6700915791824883,12.0,2.680366316729953,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.22452229299364,6.254188072369891,0.0
2008.0,Bear Stearns,failed,BSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2005.0,JPMorgan Chase,survived,JPM,11.183012937105334,0.640210901218618,,5790000000.0,8483000000.0,,,8.942133981460321,5588.0,0.0,0.0,0.0,0.0,17.0,3.0422333571939872,0.0,0.0,0.0,0.0,8.0,1.4316392269148175,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0752688172043012,,4.473872584108805,0.0
2006.0,JPMorgan Chase,survived,JPM,11.310737300192486,0.5710039259674705,,3270000000.0,14444000000.0,-43.523316062176164,70.26995166804197,8.841156623653369,5657.0,0.0,0.0,0.0,0.0,17.0,3.0051263920806077,0.0,0.0,0.0,0.0,7.0,1.237404984974368,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0638297872340425,1.23478883321404,4.242531377054975,0.0
